tissue,lineage,gene1,gene2,rho,p_value,sig,n,q_global,q_stratified
Liver,Myeloid,B2M,TAP1,0.361,0.090891,†,23,0.30111686819434874,0.4367523924418605
Liver,Myeloid,B2M,TET2,-0.026,0.907367,NS,23,0.9627963235017951,0.9758475283018868
Liver,Myeloid,B2M,TFAM,-0.082,0.709873,NS,23,0.8669140815535215,0.913878558411215
Liver,Myeloid,B2M,TGFB1,0.313,0.145559,NS,23,0.3901679850704618,0.5185539375
Liver,Myeloid,B2M,TGFBR1,0.258,0.234305,NS,23,0.5063472253505328,0.6235817272727273
Liver,Myeloid,B2M,TGFBR2,0.007,0.975012,NS,23,0.9900605492890745,0.9976080037128713
Liver,Myeloid,B2M,TIGIT,0.328,0.126963,NS,23,0.36182854072096127,0.49969009285714283
Liver,Myeloid,B2M,TOX,-0.014,0.948498,NS,23,0.979024020954223,0.9885669571248423
Liver,Myeloid,B2M,TOX2,0.088,0.691051,NS,23,0.8569048262665376,0.9044396698337291
Liver,Myeloid,B2M,TYROBP,-0.117,0.596232,NS,23,0.8012740784889821,0.8563182912705273
Liver,Myeloid,BAK1,BCL6,-0.265,0.220836,NS,23,0.4906870687022901,0.6235817272727273
Liver,Myeloid,BAK1,CASP1,0.052,0.812408,NS,23,0.9179608333137278,0.9507581040339703
Liver,Myeloid,BAK1,CD27,0.132,0.548017,NS,23,0.7704884797277517,0.8310753220183486
Liver,Myeloid,BAK1,CD44,0.072,0.743608,NS,23,0.8844934238127671,0.9241133060188542
Liver,Myeloid,BAK1,CD74,0.747,4.2e-05,**,23,0.0020323979848866497,0.0036539999999999997
Liver,Myeloid,BAK1,CTLA4,0.319,0.137604,NS,23,0.37816319479777044,0.5114419146067416
Liver,Myeloid,BAK1,DNMT1,0.676,0.0004,**,23,0.00921390887290168,0.019447058823529415
Liver,Myeloid,BAK1,DNMT3A,0.374,0.078945,†,23,0.2770574342345634,0.4104586132075472
Liver,Myeloid,BAK1,FCER1G,-0.333,0.120502,NS,23,0.3515510891419894,0.48940984275184274
Liver,Myeloid,BAK1,GZMB,0.073,0.739719,NS,23,0.8832442200621118,0.9234506332075472
Liver,Myeloid,BAK1,HLA-DPA1,0.769,1.8e-05,**,23,0.0011263778501628666,0.0017502352941176473
Liver,Myeloid,BAK1,HLA-DPB1,0.786,9e-06,**,23,0.0007234267782426779,0.0012397500000000002
Liver,Myeloid,BAK1,HLA-DRA,0.73,7.6e-05,**,23,0.003022848861283644,0.005982285714285714
Liver,Myeloid,BAK1,HLA-DRB1,0.771,1.7e-05,**,23,0.0010959295302013423,0.0017502352941176473
Liver,Myeloid,BAK1,IL1B,0.13,0.553046,NS,23,0.7735959448085045,0.8336595189530687
Liver,Myeloid,BAK1,IL1RN,-0.031,0.889541,NS,23,0.9537912092166926,0.973905947889182
Liver,Myeloid,BAK1,IL2RA,0.347,0.104879,NS,23,0.3252386965150048,0.45644985
